freq,texto,texto2,grupo
1,Ásia,ásia,NP00G00
1,Ásia,ásia,NP00V00
1,É_Teresa,é_teresa,NP00V00
1,É_de_Simão,é_de_simão,NP00V00
1,És,és,NP00O00
1,Ó_Meneses,ó_meneses,NP00SP0
1,—,—,NP00G00
2,A5,a5,NP00O00
2,Botelhos_Correais_de_Mesquita,botelhos_correais_de_mesquita,NP00V00
2,Brocas,brocas,NP00V00
2,Camões,camões,NP00V00
2,Candal,candal,NP00G00
2,Carção,carção,NP00G00
2,Casada,casada,NP00V00
2,Castro,castro,NP00G00
2,Castro-d'Aire,castro-d'aire,NP00SP0
2,Castrod'Aire,castrod'aire,NP00V00
2,Conhece,conhece,NP00V00
2,Conheço,conheço,NP00V00
2,Cuidei,cuidei,NP00V00
2,D,d,NP00SP0
2,D._Teresa,d._teresa,NP00SP0
2,Deixa,deixa,NP00V00
2,Deixá,deixá,NP00V00
2,Diz,diz,NP00SP0
2,Dizem,dizem,NP00V00
2,Douro,douro,NP00G00
2,Dê,dê,NP00SP0
2,E_Teresa,e_teresa,NP00V00
2,Estava,estava,NP00V00
2,Estou,estou,NP00SP0
2,Exmo,exmo,NP00V00
2,Faial,faial,NP00G00
2,Fale,fale,NP00V00
2,Fanny,fanny,NP00SP0
2,Fique,fique,NP00V00
2,Guarde,guarde,NP00V00
2,Ilmo,ilmo,NP00V00
2,Inglaterra,inglaterra,NP00G00
2,Japão,japão,NP00G00
2,Miragaia,miragaia,NP00G00
2,Montezelos,montezelos,NP00V00
2,Mosqueira,mosqueira,NP00SP0
2,Mosqueira,mosqueira,NP00V00
2,Ordenações_de_o_Reino,ordenações_de_o_reino,NP00V00
2,Paris,paris,NP00G00
2,Pode,pode,NP00V00
2,Queria,queria,NP00V00
2,Relação,relação,NP00V00
2,Relação_de_o_Porto,relação_de_o_porto,NP00O00
2,Rita_Preciosa,rita_preciosa,NP00SP0
2,Senhor_Simão,senhor_simão,NP00SP0
2,Senhor_de_os_Passos,senhor_de_os_passos,NP00SP0
2,Sou,sou,NP00SP0
2,Tempo,tempo,NP00SP0
2,Tenha,tenha,NP00V00
2,Tenho,tenho,NP00SP0
2,Teresinha,teresinha,NP00SP0
2,Trás-os-Montes,trás-os-montes,NP00G00
2,Universidade,universidade,NP00O00
2,Vem,vem,NP00V00
2,Venho,venho,NP00V00
2,Ver-nos-emos,ver-nos-emos,NP00V00
2,Virgem,virgem,NP00V00
2,Virgem_Santíssima,virgem_santíssima,NP00V00
2,antigüidade,antigüidade,NP00V00
2,açoreana,açoreana,NP00V00
2,d'Aire,d'aire,NP00V00
2,senhor_Albuquerque,senhor_albuquerque,NP00SP0
2,senhor_Baltasar,senhor_baltasar,NP00SP0
2,África,áfrica,NP00G00
3,Bragança,bragança,NP00G00
3,Creio,creio,NP00V00
3,Domingos,domingos,NP00SP0
3,Duas,duas,NP00V00
3,Fala,fala,NP00G00
3,Fernão_Botelho,fernão_botelho,NP00SP0
3,Foi,foi,NP00V00
3,França,frança,NP00G00
3,Há,há,NP00O00
3,Leia,leia,NP00SP0
3,Lua,lua,NP00V00
3,Mondego,mondego,NP00G00
3,Nossa_Senhora,nossa_senhora,NP00V00
3,Nã,nã,NP00O00
3,Olha,olha,NP00V00
3,Sei,sei,NP00SP0
3,Vai,vai,NP00SP0
3,Venha,venha,NP00V00
3,Veremos,veremos,NP00V00
3,senhor_Botelho,senhor_botelho,NP00SP0
3,—,—,NP00V00
4,Cascais,cascais,NP00G00
4,Cruz,cruz,NP00G00
4,Deixe,deixe,NP00V00
4,Disse,disse,NP00V00
4,Era,era,NP00SP0
4,Josefa,josefa,NP00SP0
4,Morreu,morreu,NP00V00
4,Mourão_Mosqueira,mourão_mosqueira,NP00SP0
4,Sabe,sabe,NP00V00
4,Sol,sol,NP00SP0
4,Vamos,vamos,NP00V00
4,Vou,vou,NP00V00
4,É,é,NP00SP0
5,Lamego,lamego,NP00V00
5,Parece,parece,NP00V00
5,porta,porta,NP00SP0
6,D._Rita_Preciosa,d._rita_preciosa,NP00SP0
6,Diga,diga,NP00V00
6,Espanha,espanha,NP00G00
6,Estou,estou,NP00V00
6,Sou,sou,NP00V00
6,São,são,NP00SP0
6,Tem,tem,NP00V00
6,Tereza,tereza,NP00SP0
7,Manuel_Botelho,manuel_botelho,NP00SP0
7,Portugal,portugal,NP00G00
7,Quero,quero,NP00G00
7,V._Exa,v._exa,NP00SP0
7,senhor_João,senhor_joão,NP00SP0
8,Tenho,tenho,NP00V00
9,Domingos_Botelho,domingos_botelho,NP00SP0
10,Constança,constança,NP00G00
10,Joaquina,joaquina,NP00V00
10,Senhor,senhor,NP00SP0
10,Índia,índia,NP00G00
11,Castro-d'Aire,castro-d'aire,NP00V00
11,Está,está,NP00V00
14,Rita,rita,NP00SP0
16,Monchique,monchique,NP00G00
16,Vila-Real,vila-real,NP00V00
16,É,é,NP00O00
18,Albuquerque,albuquerque,NP00G00
19,Baltasar_Coutinho,baltasar_coutinho,NP00SP0
20,D._Rita,d._rita,NP00SP0
21,Lisboa,lisboa,NP00G00
21,Tadeu,tadeu,NP00SP0
23,Botelho,botelho,NP00SP0
23,Manuel,manuel,NP00SP0
25,Tadeu_de_Albuquerque,tadeu_de_albuquerque,NP00SP0
30,João,joão,NP00SP0
35,senhor_Simão,senhor_simão,NP00SP0
36,Porto,porto,NP00G00
39,Coimbra,coimbra,NP00G00
39,—,—,NP00SP0
46,Baltasar,baltasar,NP00SP0
51,João_de_a_Cruz,joão_de_a_cruz,NP00SP0
57,Deus,deus,NP00SP0
59,Viseu,viseu,NP00G00
61,Simão_Botelho,simão_botelho,NP00SP0
97,www.nead.unama.br,www.nead.unama.br,NP00V00
123,Mariana,mariana,NP00G00
217,Teresa,teresa,NP00G00
258,Simão,simão,NP00SP0
877,—,—,NP00O00
